scope_group,bucket_start,bucket_end,bucket_label,file_count
root,0,9,0-9,2
root,10,19,10-19,1
root,20,29,20-29,2
root,30,39,30-39,1
root,40,49,40-49,0
root,50,59,50-59,0
root,60,69,60-69,0
root,70,79,70-79,0
root,80,89,80-89,0
root,90,99,90-99,1
root,100,109,100-109,0
root,110,119,110-119,0
root,120,129,120-129,0
root,130,139,130-139,0
root,140,149,140-149,0
root,150,159,150-159,0
root,160,169,160-169,0
root,170,179,170-179,1
root,180,189,180-189,0
root,190,199,190-199,0
root,200,209,200-209,1
root,210,219,210-219,0
root,220,229,220-229,0
root,230,239,230-239,0
root,240,249,240-249,0
root,250,259,250-259,0
root,260,269,260-269,0
root,270,279,270-279,0
root,280,289,280-289,0
root,290,299,290-299,0
root,300,309,300-309,1
root,310,319,310-319,0
root,320,329,320-329,0
root,330,339,330-339,0
root,340,349,340-349,0
root,350,359,350-359,0
root,360,369,360-369,0
root,370,379,370-379,0
root,380,389,380-389,0
root,390,399,390-399,0
root,400,409,400-409,0
root,410,419,410-419,0
root,420,429,420-429,0
root,430,439,430-439,0
root,440,449,440-449,1
root,450,459,450-459,0
root,460,469,460-469,0
root,470,479,470-479,0
root,480,489,480-489,0
root,490,499,490-499,0
root,500,509,500-509,0
root,510,519,510-519,0
root,520,529,520-529,0
root,530,539,530-539,0
root,540,549,540-549,0
root,550,559,550-559,0
root,560,569,560-569,0
root,570,579,570-579,0
root,580,589,580-589,0
root,590,599,590-599,0
root,600,609,600-609,0
root,610,619,610-619,0
root,620,629,620-629,0
root,630,639,630-639,0
root,640,649,640-649,0
root,650,659,650-659,0
root,660,669,660-669,0
root,670,679,670-679,0
root,680,689,680-689,0
root,690,699,690-699,0
root,700,709,700-709,0
root,710,719,710-719,0
root,720,729,720-729,0
root,730,739,730-739,0
root,740,749,740-749,0
root,750,759,750-759,0
root,760,769,760-769,0
root,770,779,770-779,0
root,780,789,780-789,0
root,790,799,790-799,0
root,800,809,800-809,0
root,810,819,810-819,0
root,820,829,820-829,0
root,830,839,830-839,0
root,840,849,840-849,0
root,850,859,850-859,0
root,860,869,860-869,0
root,870,879,870-879,0
root,880,889,880-889,0
root,890,899,890-899,0
root,900,909,900-909,0
root,910,919,910-919,0
root,920,929,920-929,0
root,930,939,930-939,0
root,940,949,940-949,0
root,950,959,950-959,0
root,960,969,960-969,0
root,970,979,970-979,0
root,980,989,980-989,0
root,990,999,990-999,0
root,1000,1009,1000-1009,0
root,1010,1019,1010-1019,0
root,1020,1029,1020-1029,0
root,1030,1039,1030-1039,0
root,1040,1049,1040-1049,0
docs,0,9,0-9,1
docs,10,19,10-19,1
docs,20,29,20-29,0
docs,30,39,30-39,0
docs,40,49,40-49,0
docs,50,59,50-59,3
docs,60,69,60-69,1
docs,70,79,70-79,2
docs,80,89,80-89,1
docs,90,99,90-99,0
docs,100,109,100-109,0
docs,110,119,110-119,0
docs,120,129,120-129,3
docs,130,139,130-139,2
docs,140,149,140-149,0
docs,150,159,150-159,1
docs,160,169,160-169,0
docs,170,179,170-179,1
docs,180,189,180-189,0
docs,190,199,190-199,0
docs,200,209,200-209,0
docs,210,219,210-219,0
docs,220,229,220-229,1
docs,230,239,230-239,1
docs,240,249,240-249,0
docs,250,259,250-259,0
docs,260,269,260-269,0
docs,270,279,270-279,0
docs,280,289,280-289,1
docs,290,299,290-299,0
docs,300,309,300-309,1
docs,310,319,310-319,0
docs,320,329,320-329,1
docs,330,339,330-339,0
docs,340,349,340-349,1
docs,350,359,350-359,1
docs,360,369,360-369,0
docs,370,379,370-379,0
docs,380,389,380-389,0
docs,390,399,390-399,0
docs,400,409,400-409,1
docs,410,419,410-419,0
docs,420,429,420-429,0
docs,430,439,430-439,0
docs,440,449,440-449,0
docs,450,459,450-459,1
docs,460,469,460-469,0
docs,470,479,470-479,0
docs,480,489,480-489,0
docs,490,499,490-499,0
docs,500,509,500-509,1
docs,510,519,510-519,0
docs,520,529,520-529,1
docs,530,539,530-539,0
docs,540,549,540-549,0
docs,550,559,550-559,0
docs,560,569,560-569,0
docs,570,579,570-579,1
docs,580,589,580-589,0
docs,590,599,590-599,0
docs,600,609,600-609,0
docs,610,619,610-619,0
docs,620,629,620-629,0
docs,630,639,630-639,0
docs,640,649,640-649,0
docs,650,659,650-659,0
docs,660,669,660-669,0
docs,670,679,670-679,0
docs,680,689,680-689,0
docs,690,699,690-699,0
docs,700,709,700-709,0
docs,710,719,710-719,0
docs,720,729,720-729,0
docs,730,739,730-739,1
docs,740,749,740-749,0
docs,750,759,750-759,0
docs,760,769,760-769,0
docs,770,779,770-779,0
docs,780,789,780-789,0
docs,790,799,790-799,0
docs,800,809,800-809,0
docs,810,819,810-819,0
docs,820,829,820-829,0
docs,830,839,830-839,0
docs,840,849,840-849,0
docs,850,859,850-859,0
docs,860,869,860-869,0
docs,870,879,870-879,0
docs,880,889,880-889,1
docs,890,899,890-899,0
docs,900,909,900-909,0
docs,910,919,910-919,0
docs,920,929,920-929,0
docs,930,939,930-939,0
docs,940,949,940-949,0
docs,950,959,950-959,0
docs,960,969,960-969,0
docs,970,979,970-979,0
docs,980,989,980-989,0
docs,990,999,990-999,0
docs,1000,1009,1000-1009,0
docs,1010,1019,1010-1019,0
docs,1020,1029,1020-1029,0
docs,1030,1039,1030-1039,0
docs,1040,1049,1040-1049,0
plans,0,9,0-9,0
plans,10,19,10-19,0
plans,20,29,20-29,0
plans,30,39,30-39,0
plans,40,49,40-49,0
plans,50,59,50-59,0
plans,60,69,60-69,0
plans,70,79,70-79,0
plans,80,89,80-89,0
plans,90,99,90-99,0
plans,100,109,100-109,0
plans,110,119,110-119,0
plans,120,129,120-129,0
plans,130,139,130-139,0
plans,140,149,140-149,0
plans,150,159,150-159,0
plans,160,169,160-169,0
plans,170,179,170-179,1
plans,180,189,180-189,1
plans,190,199,190-199,0
plans,200,209,200-209,1
plans,210,219,210-219,0
plans,220,229,220-229,0
plans,230,239,230-239,0
plans,240,249,240-249,0
plans,250,259,250-259,0
plans,260,269,260-269,0
plans,270,279,270-279,0
plans,280,289,280-289,0
plans,290,299,290-299,1
plans,300,309,300-309,0
plans,310,319,310-319,0
plans,320,329,320-329,0
plans,330,339,330-339,0
plans,340,349,340-349,0
plans,350,359,350-359,0
plans,360,369,360-369,0
plans,370,379,370-379,0
plans,380,389,380-389,0
plans,390,399,390-399,0
plans,400,409,400-409,0
plans,410,419,410-419,1
plans,420,429,420-429,0
plans,430,439,430-439,0
plans,440,449,440-449,0
plans,450,459,450-459,0
plans,460,469,460-469,1
plans,470,479,470-479,0
plans,480,489,480-489,0
plans,490,499,490-499,0
plans,500,509,500-509,0
plans,510,519,510-519,0
plans,520,529,520-529,0
plans,530,539,530-539,0
plans,540,549,540-549,0
plans,550,559,550-559,0
plans,560,569,560-569,0
plans,570,579,570-579,0
plans,580,589,580-589,0
plans,590,599,590-599,0
plans,600,609,600-609,0
plans,610,619,610-619,0
plans,620,629,620-629,0
plans,630,639,630-639,0
plans,640,649,640-649,0
plans,650,659,650-659,0
plans,660,669,660-669,0
plans,670,679,670-679,0
plans,680,689,680-689,0
plans,690,699,690-699,0
plans,700,709,700-709,0
plans,710,719,710-719,0
plans,720,729,720-729,0
plans,730,739,730-739,0
plans,740,749,740-749,0
plans,750,759,750-759,0
plans,760,769,760-769,0
plans,770,779,770-779,0
plans,780,789,780-789,0
plans,790,799,790-799,0
plans,800,809,800-809,0
plans,810,819,810-819,0
plans,820,829,820-829,0
plans,830,839,830-839,0
plans,840,849,840-849,0
plans,850,859,850-859,0
plans,860,869,860-869,0
plans,870,879,870-879,0
plans,880,889,880-889,0
plans,890,899,890-899,0
plans,900,909,900-909,0
plans,910,919,910-919,0
plans,920,929,920-929,0
plans,930,939,930-939,0
plans,940,949,940-949,0
plans,950,959,950-959,0
plans,960,969,960-969,0
plans,970,979,970-979,0
plans,980,989,980-989,0
plans,990,999,990-999,0
plans,1000,1009,1000-1009,0
plans,1010,1019,1010-1019,0
plans,1020,1029,1020-1029,0
plans,1030,1039,1030-1039,0
plans,1040,1049,1040-1049,0
agents,0,9,0-9,1
agents,10,19,10-19,0
agents,20,29,20-29,0
agents,30,39,30-39,0
agents,40,49,40-49,0
agents,50,59,50-59,3
agents,60,69,60-69,1
