RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes,EstimateImpactClass,ConsumerHint
v3.1,DEP-017-04-001,PKG-017,DEL-017-04,New Locker/Change Room,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,,,,SOW-0073,_Decomposition/WDMLRL_Decomposition_Claude.md,DEL-017-04 implements SOW-0073: Construct new locker/change room with laundry services,Datasheet.md,Datasheet > Identification > Scope of Work Item,"Scope of Work Item: SOW-0073",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Decomposition confirms SOW-0073 assigned to DEL-017-04 in PKG-017.,,
v3.1,DEP-017-04-002,PKG-017,DEL-017-04,New Locker/Change Room,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,,OBJ-001,_Decomposition/WDMLRL_Decomposition_Claude.md,DEL-017-04 supports OBJ-001: Deliver a code-compliant fully functional maintenance shop addition and associated renovations,Datasheet.md,Datasheet > Identification > Objective,"Objective: OBJ-001 (ASSUMPTION: package-grouping heuristic)",EXPLICIT,TBD,TBD,TBD,MEDIUM,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,"ASSUMPTION. Datasheet marks OBJ-001 as ASSUMPTION (package-grouping heuristic). Decomposition confirms DEL-017-04 Supports OBJ = OBJ-001, lending validation.",,
v3.1,DEP-017-04-003,PKG-017,DEL-017-04,New Locker/Change Room,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-017,DEL-017-03,,Washroom Renovation & Expansion,,Locker room plumbing and electrical shall be coordinated with DEL-017-03 (Washroom Renovation & Expansion) for shared utility infrastructure,Specification.md,Specification > Requirements > REQ-017-04-10,"coordinate plumbing and electrical with Washroom Renovation & Expansion (DEL-017-03)",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,"FACT. Multiple explicit references: Specification REQ-017-04-10, Procedure Steps 1.1 and 2.4, Guidance Principle 3. Shared MEP infrastructure requires design coordination artifact.",ADVISORY,TASK_ESTIMATING
v3.1,DEP-017-04-004,PKG-017,DEL-017-04,New Locker/Change Room,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-001,DEL-001-10,,Old North Shop Renovation Plans,,IFC Architectural/Renovation Drawings for Old North Shop must include locker room layout; P.Eng.-stamped,Procedure.md,Procedure > Upstream Deliverable Dependencies,"DEL-001-10_Renovation-Plans: Old North Shop Renovation Plans (Architectural, P.Eng.-stamped) — Must include locker room",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Procedure explicitly lists DEL-001-10 as upstream dependency. Specification Documentation table also references DEL-001-10 for IFC drawings. Decomposition confirms DEL-001-10 covers SOW-0073.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-017-04-005,PKG-017,DEL-017-04,New Locker/Change Room,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-006,,,DEL-006 series (Plumbing Design),,Plumbing design drawings and specifications must confirm cistern/septic connections to locker room,Procedure.md,Procedure > Upstream Deliverable Dependencies,"DEL-006 series: Plumbing design drawings and specifications — Must confirm cistern/septic connections",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,"FACT. Procedure explicitly lists DEL-006 series as upstream dependency. Specific deliverable ID within series not resolved (multiple candidates: DEL-006-02 through DEL-006-08); TargetDeliverableID left empty, TargetName preserves series reference.",BLOCKING,TASK_ESTIMATING
v3.1,DEP-017-04-006,PKG-017,DEL-017-04,New Locker/Change Room,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-004,,,DEL-004 series (Electrical Design),,Electrical design drawings must confirm panel/circuit assignments for locker room,Procedure.md,Procedure > Upstream Deliverable Dependencies,"DEL-004 series: Electrical design drawings — Must confirm panel/circuit assignments for locker room",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,"FACT. Procedure explicitly lists DEL-004 series as upstream dependency. Specific deliverable ID within series not resolved (multiple candidates: DEL-004-02 through DEL-004-09); TargetDeliverableID left empty, TargetName preserves series reference.",BLOCKING,TASK_ESTIMATING
v3.1,DEP-017-04-007,PKG-017,DEL-017-04,New Locker/Change Room,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-009,DEL-009-01,,Development Permit,,Development permit application and approval required before construction of locker room,Procedure.md,Procedure > Upstream Deliverable Dependencies,"DEL-009-01/02/03: Development permit, building permit, safety code permits",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Procedure explicitly lists permit deliverables as upstream dependencies. Decomposition confirms DEL-009-01.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-017-04-008,PKG-017,DEL-017-04,New Locker/Change Room,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-009,DEL-009-02,,Building Permit,,Building permit required before construction commences,Procedure.md,Procedure > Upstream Deliverable Dependencies > Step 1.5,"DEL-009-01/02/03: building permit — County pays fees; proponent obtains permits",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Procedure Step 1.5 explicitly requires permits before construction. Decomposition confirms DEL-009-02.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-017-04-009,PKG-017,DEL-017-04,New Locker/Change Room,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-009,DEL-009-03,,Safety Code Permits,,Safety code permits (plumbing/electrical/mechanical) required before respective construction phases,Procedure.md,Procedure > Upstream Deliverable Dependencies,"DEL-009-01/02/03: safety code permits",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Procedure explicitly lists safety code permits as upstream dependency. Decomposition confirms DEL-009-03.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-017-04-010,PKG-017,DEL-017-04,New Locker/Change Room,EXECUTION,NOT_APPLICABLE,UPSTREAM,CONSTRAINT,DOCUMENT,,,R-01,AB-2026-01424-WDMLRL RFP.pdf,_Decomposition/WDMLRL_Decomposition_Claude.md,RFP Section 3.4 defines design requirements for locker/change room and laundry services; Section 3.3.2 defines code compliance and inspection requirements,Datasheet.md,Datasheet > References > R-01,"AB-2026-01424-WDMLRL RFP.pdf: Section 3.4 Design Requirements",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. RFP is the governing project requirements document. Cited extensively across all four source documents.,INFO,TASK_ESTIMATING
