RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes,EstimateImpactClass,ConsumerHint
v3.1,DEP-019-01-001,PKG-019,DEL-019-01,Prime Contractor Designation & OH&S Program,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,,,SOW-0083,SOW-0083: Assume Prime Contractor designation for full project duration per Alberta OH&S,_Decomposition/WDMLRL_Decomposition_Claude.md §3L,DEL-019-01 implements SOW-0083: Assume Prime Contractor designation for full project duration per Alberta OH&S requirements.,Datasheet.md,Datasheet.md > Identification > Covers SOW,"""Covers SOW: SOW-0083""",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Confirmed in Decomposition §7 PKG-019 table and Scope Ledger (SOW-0083 -> PKG-019 -> DEL-019-01).,TBD,TBD
v3.1,DEP-019-01-002,PKG-019,DEL-019-01,Prime Contractor Designation & OH&S Program,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-007,OBJ-007: Zero lost-time incidents and full OH&S compliance,_Decomposition/WDMLRL_Decomposition_Claude.md §5,DEL-019-01 traces to OBJ-007: Maintain safe site operations under Prime Contractor designation for the full project duration with zero lost-time incidents.,Datasheet.md,Datasheet.md > Identification > Supports Objective,"""Supports Objective: OBJ-007""",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Confirmed in Decomposition §5 (OBJ-007) and §7 PKG-019 table.,TBD,TBD
v3.1,DEP-019-01-003,PKG-019,DEL-019-01,Prime Contractor Designation & OH&S Program,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-021,DEL-021-04,,CCDC 14-2013 Contract Execution,_Decomposition/WDMLRL_Decomposition_Claude.md §7 PKG-021,Contract award and CCDC 14-2013 contract execution is required before Prime Contractor Designation Form can be executed and before work commences.,Procedure.md,Procedure.md > Prerequisites,"""Contract award / selection as successful Proponent — Required before Prime Contractor Designation Form can be executed""",EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Procedure Prerequisites state contract award required before designation form execution (RFP §2.15). CCDC 14-2013 contract must be signed prior to commencing work (RFP §2.7).,BLOCKING,TASK_ESTIMATING
v3.1,DEP-019-01-004,PKG-019,DEL-019-01,Prime Contractor Designation & OH&S Program,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,EXTERNAL,,,,,Camrose County — Prime Contractor Designation Form,Prime Contractor Designation Form must be obtained from Camrose County; Proponent cannot self-generate this form.,Procedure.md,Procedure.md > Prerequisites; Step 2.1,"""Prime Contractor Designation Form available from Camrose County — County issues the form; Proponent cannot self-generate""",EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. County-issued form is a required external input; contact is Darren King per RFP §1.3.4. Proponent has no control over form availability timing.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-019-01-005,PKG-019,DEL-019-01,Prime Contractor Designation & OH&S Program,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-021,DEL-021-03,,Insurance Package,_Decomposition/WDMLRL_Decomposition_Claude.md §7 PKG-021,Insurance Certificates with Camrose County named as additional insured are required before contract execution and must be maintained throughout the project.,Procedure.md,Procedure.md > Prerequisites; Step 2.6,"""Insurance Certificates with Camrose County named as additional insured — Required before contract execution""",EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Insurance is a prerequisite for contract execution and an ongoing obligation. REQ-019-01-006 specifies minimum $5M CGL and other coverages.,BLOCKING,TASK_ESTIMATING
v3.1,DEP-019-01-006,PKG-019,DEL-019-01,Prime Contractor Designation & OH&S Program,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,R-03,Appendix A — Contractor Health and Safety Pre-Qualification Evaluation,_REFERENCES.md,Completed Appendix A form with all supporting documentation is a required input for the H&S Pre-Qualification submission at proposal stage.,Specification.md,Specification.md > Requirements > REQ-019-01-003,"""The Proponent shall submit a completed Contractor Health and Safety Pre-Qualification Evaluation form (Appendix A)""",EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Appendix A (R-03) is a County-provided form template that must be completed with supporting documentation. Required at proposal stage per RFP §4.9.,ADVISORY,TASK_ESTIMATING
v3.1,DEP-019-01-007,PKG-019,DEL-019-01,Prime Contractor Designation & OH&S Program,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,ENABLES,DELIVERABLE,PKG-019,DEL-019-02,,Weekly Meetings & Billing Coordination,_Decomposition/WDMLRL_Decomposition_Claude.md §7 PKG-019,DEL-019-02 depends on the Prime Contractor designation being in effect to establish the coordination authority structure.,Datasheet.md,Datasheet.md > Conditions > Downstream deliverable dependency,"""DEL-019-02 (Weekly Coordination)... depend on this designation being in effect""",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Datasheet Conditions and Guidance Purpose both state downstream deliverables lack authoritative structure without this designation.,ADVISORY,TASK_ESTIMATING
v3.1,DEP-019-01-008,PKG-019,DEL-019-01,Prime Contractor Designation & OH&S Program,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,ENABLES,DELIVERABLE,PKG-019,DEL-019-03,,Subcontractor Management,_Decomposition/WDMLRL_Decomposition_Claude.md §7 PKG-019,DEL-019-03 depends on the Prime Contractor designation being in effect to establish subcontractor management authority.,Datasheet.md,Datasheet.md > Conditions > Downstream deliverable dependency,"""DEL-019-03 (Subcontractor Mgmt)... depend on this designation being in effect""",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Guidance Purpose: downstream management deliverables lack authoritative structure without confirmed designation.,ADVISORY,TASK_ESTIMATING
v3.1,DEP-019-01-009,PKG-019,DEL-019-01,Prime Contractor Designation & OH&S Program,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,ENABLES,DELIVERABLE,PKG-019,DEL-019-04,,Construction Quality Control,_Decomposition/WDMLRL_Decomposition_Claude.md §7 PKG-019,DEL-019-04 depends on the Prime Contractor designation being in effect to establish QC oversight authority.,Datasheet.md,Datasheet.md > Conditions > Downstream deliverable dependency,"""DEL-019-04 (QC Management)... depend on this designation being in effect""",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Same evidence chain as DEP-019-01-007 and DEP-019-01-008.,ADVISORY,TASK_ESTIMATING
v3.1,DEP-019-01-010,PKG-019,DEL-019-01,Prime Contractor Designation & OH&S Program,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,INTERFACE,DELIVERABLE,PKG-009,DEL-009-04,,Code Compliance Register & Inspection Log,_Decomposition/WDMLRL_Decomposition_Claude.md §7 PKG-009,Prime Contractor has overall site responsibility and must enable inspection coordination function assigned to DEL-009-04; explicit operational interface for inspection requests and reports.,Procedure.md,Procedure.md > Step 3.6; Guidance.md > Integration with DEL-009-04,"""Coordinate with the party responsible for DEL-009-04 to ensure that inspection requests are submitted""",EXPLICIT,TBD,TBD,TBD,MEDIUM,EXTRACTED,2026-02-26,2026-02-26,ACTIVE,FACT. Procedure Step 3.6 and Guidance explicitly state interface with DEL-009-04 for inspection coordination. SOW-0084/SOW-0085 assigned to DEL-009-04 per Scope Ledger.,ADVISORY,TASK_ESTIMATING
