CBS_Code,Amount_CAD
03-CONCRETE,1340112.0
07-ENVELOPE,532680.0
CONCRETE,484300.0
EQUIP,405000.0
05-METALS,306628.0
Design,235105.0
Construction,157935.94
08-OPENINGS,150324.0
Surfacing,117600.0
Materials,113281.2
01-GENERAL,112844.8
MATERIAL,111125.0
LABOUR,106227.6
Professional Services — Design,99135.0
Professional Services,98640.0
Design-Structural,92580.0
MECHANICAL-DUCTWORK,92250.0
Management,83300.8
INS,74000.0
Earthworks,71725.0
07-Envelope,64706.0
EARTHWORK,64197.6
SITE.CONCRETE,63635.0
Equipment,61450.0
Labour,59682.7
MECHANICAL_EQUIPMENT,58050.0
Electrical-Equipment,54650.0
MECHANICAL-EQUIP,54550.0
Design-Architecture,50730.0
MANAGEMENT,48150.0
Utility — Electrical,45000.0
STRUCTURAL_STEEL,44765.0
03-Concrete,43895.0
Design-Engineering,41580.0
MATERIAL+LABOUR,40786.4
Bonding,39000.0
LABOUR_CONSTRUCTION,38446.0
Design-Labour,35340.0
Construction Labour,34793.2
PLUMBING-MATERIAL,33600.0
LABOUR-DESIGN,31190.0
LABOR-DESIGN,29500.0
ELECTRICAL-SERVICE,28000.0
Underground Utilities,26250.0
MATERIALS,25538.5
Utility — Natural Gas,25000.0
CONSTRUCTION,24195.0
Specialty,24100.0
LABOUR-ENG,23520.0
Landscaping,23000.0
EQUIPMENT,22000.0
08-Doors,21916.0
Design-Electrical,21900.0
UNDERGROUND,21270.0
Design-Production,20710.0
Professional Services — Geotechnical,20000.0
ELECTRICAL-LABOUR,19930.4
COMMISSIONING,17880.0
LABOUR-MGMT,17580.0
STRUCTURAL_CONCRETE,17205.0
Design-Civil,16860.0
LAB,15920.0
Design-Management,15300.0
COMMISSION,15000.0
SAFETY,14755.0
SITE.GRAVEL,14550.0
Labour-Trade,14304.0
TESTING,14250.0
Construction-Labour,14124.0
MECHANICAL-COMMISSIONING,14000.0
Professional Services — Management,13770.0
PROFESSIONAL_SERVICES,13590.0
