DeliverableID,PackageID,ConcreteProductionUnitLabel,ConcretePartitionLabel,FolderExists,ContextPresent,ContextMatch,ArtifactCoverage,ObjectivesMapped,LifecycleState,IssueCount
DEL-001-01,PKG-001,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-001-02,PKG-001,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-001-03,PKG-001,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-001-04,PKG-001,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-001-05,PKG-001,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-001-06,PKG-001,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-001-07,PKG-001,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-001-08,PKG-001,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-001-09,PKG-001,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-001-10,PKG-001,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-001-11,PKG-001,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-002-01,PKG-002,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-002-02,PKG-002,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-002-03,PKG-002,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-002-04,PKG-002,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-002-05,PKG-002,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-002-06,PKG-002,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-002-07,PKG-002,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-002-08,PKG-002,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-002-09,PKG-002,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-002-10,PKG-002,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-002-11,PKG-002,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-002-12,PKG-002,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-003-01,PKG-003,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-003-02,PKG-003,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
