DeliverableID,PackageID,DependenciesCsv,CoverageStatus,EdgeRowsIncluded
DEL-001-01,PKG-001,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-001_Architectural Design/1_Working/DEL-001-01_Preliminary-Design/Dependencies.csv,OK,2
DEL-001-02,PKG-001,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-001_Architectural Design/1_Working/DEL-001-02_Floor-Plans/Dependencies.csv,OK,3
DEL-001-03,PKG-001,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-001_Architectural Design/1_Working/DEL-001-03_Exterior-Elevations/Dependencies.csv,OK,2
DEL-001-04,PKG-001,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-001_Architectural Design/1_Working/DEL-001-04_Building-Sections/Dependencies.csv,OK,6
DEL-001-05,PKG-001,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-001_Architectural Design/1_Working/DEL-001-05_Interior-Elevations/Dependencies.csv,OK,1
DEL-001-06,PKG-001,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-001_Architectural Design/1_Working/DEL-001-06_Reflected-Ceiling-Plans/Dependencies.csv,OK,1
DEL-001-07,PKG-001,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-001_Architectural Design/1_Working/DEL-001-07_Door-Window-Schedule/Dependencies.csv,OK,1
DEL-001-08,PKG-001,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-001_Architectural Design/1_Working/DEL-001-08_Finish-Schedule/Dependencies.csv,OK,2
DEL-001-09,PKG-001,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-001_Architectural Design/1_Working/DEL-001-09_Demolition-Plans/Dependencies.csv,OK,1
DEL-001-10,PKG-001,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-001_Architectural Design/1_Working/DEL-001-10_Renovation-Plans/Dependencies.csv,OK,1
DEL-001-11,PKG-001,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-001_Architectural Design/1_Working/DEL-001-11_Specification/Dependencies.csv,OK,3
DEL-002-01,PKG-002,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-002_Structural Design/1_Working/DEL-002-01_Preliminary-Design/Dependencies.csv,OK,0
DEL-002-02,PKG-002,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-002_Structural Design/1_Working/DEL-002-02_Foundation-Plan/Dependencies.csv,OK,2
DEL-002-03,PKG-002,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-002_Structural Design/1_Working/DEL-002-03_Framing-Plans/Dependencies.csv,OK,3
DEL-002-04,PKG-002,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-002_Structural Design/1_Working/DEL-002-04_Structural-Sections/Dependencies.csv,OK,2
DEL-002-05,PKG-002,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-002_Structural Design/1_Working/DEL-002-05_Mezzanine-Details/Dependencies.csv,OK,1
DEL-002-06,PKG-002,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-002_Structural Design/1_Working/DEL-002-06_Service-Pit-Details/Dependencies.csv,OK,1
DEL-002-07,PKG-002,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-002_Structural Design/1_Working/DEL-002-07_Crane-Support-Details/Dependencies.csv,OK,2
DEL-002-08,PKG-002,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-002_Structural Design/1_Working/DEL-002-08_Embedment-Plan/Dependencies.csv,OK,2
DEL-002-09,PKG-002,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-002_Structural Design/1_Working/DEL-002-09_Stair-Details/Dependencies.csv,OK,4
DEL-002-10,PKG-002,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-002_Structural Design/1_Working/DEL-002-10_Calculation-Package/Dependencies.csv,OK,1
DEL-002-11,PKG-002,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-002_Structural Design/1_Working/DEL-002-11_Foundation-Design/Dependencies.csv,OK,2
DEL-002-12,PKG-002,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-002_Structural Design/1_Working/DEL-002-12_Specification/Dependencies.csv,OK,2
DEL-003-01,PKG-003,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-003_Mechanical Design/1_Working/DEL-003-01_Preliminary-Design/Dependencies.csv,OK,0
DEL-003-02,PKG-003,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-003_Mechanical Design/1_Working/DEL-003-02_HVAC-Plans/Dependencies.csv,OK,4
DEL-003-03,PKG-003,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-003_Mechanical Design/1_Working/DEL-003-03_Ductwork-Plans/Dependencies.csv,OK,3
DEL-003-04,PKG-003,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-003_Mechanical Design/1_Working/DEL-003-04_Exhaust-Plans/Dependencies.csv,OK,3
DEL-003-05,PKG-003,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-003_Mechanical Design/1_Working/DEL-003-05_Equipment-Schedule/Dependencies.csv,OK,2
DEL-003-06,PKG-003,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-003_Mechanical Design/1_Working/DEL-003-06_Calculation-Package/Dependencies.csv,OK,1
DEL-003-07,PKG-003,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-003_Mechanical Design/1_Working/DEL-003-07_Specification/Dependencies.csv,OK,3
DEL-004-01,PKG-004,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-004_Electrical Design/1_Working/DEL-004-01_Preliminary-Design/Dependencies.csv,OK,2
DEL-004-02,PKG-004,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-004_Electrical Design/1_Working/DEL-004-02_Single-Line-Diagram/Dependencies.csv,OK,1
DEL-004-03,PKG-004,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-004_Electrical Design/1_Working/DEL-004-03_Power-Plans/Dependencies.csv,OK,2
DEL-004-04,PKG-004,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-004_Electrical Design/1_Working/DEL-004-04_Lighting-Plans/Dependencies.csv,OK,2
DEL-004-05,PKG-004,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-004_Electrical Design/1_Working/DEL-004-05_Receptacle-Plans/Dependencies.csv,OK,2
DEL-004-06,PKG-004,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-004_Electrical Design/1_Working/DEL-004-06_Panel-Schedules/Dependencies.csv,OK,5
DEL-004-07,PKG-004,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-004_Electrical Design/1_Working/DEL-004-07_Low-Voltage-Plans/Dependencies.csv,OK,3
DEL-004-08,PKG-004,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-004_Electrical Design/1_Working/DEL-004-08_Calculation-Package/Dependencies.csv,OK,0
DEL-004-09,PKG-004,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-004_Electrical Design/1_Working/DEL-004-09_Specification/Dependencies.csv,OK,1
DEL-005-01,PKG-005,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-005_Civil Design/1_Working/DEL-005-01_Preliminary-Design/Dependencies.csv,OK,1
DEL-005-02,PKG-005,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-005_Civil Design/1_Working/DEL-005-02_Site-Grading-Plan/Dependencies.csv,OK,3
DEL-005-03,PKG-005,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-005_Civil Design/1_Working/DEL-005-03_Drainage-Plan/Dependencies.csv,OK,3
DEL-005-04,PKG-005,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-005_Civil Design/1_Working/DEL-005-04_Driving-Surface-Layout/Dependencies.csv,OK,3
DEL-005-05,PKG-005,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-005_Civil Design/1_Working/DEL-005-05_Civil-Sections/Dependencies.csv,OK,5
DEL-005-06,PKG-005,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-005_Civil Design/1_Working/DEL-005-06_Calculation-Package/Dependencies.csv,OK,2
DEL-005-07,PKG-005,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-005_Civil Design/1_Working/DEL-005-07_Specification/Dependencies.csv,OK,3
DEL-006-01,PKG-006,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-01_Preliminary-Design/Dependencies.csv,OK,2
DEL-006-02,PKG-006,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-02_Water-Distribution-Plans/Dependencies.csv,OK,3
DEL-006-03,PKG-006,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-03_Drain-Vent-Plans/Dependencies.csv,OK,2
DEL-006-04,PKG-006,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-04_Cistern-Pump-Details/Dependencies.csv,OK,4
DEL-006-05,PKG-006,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-05_Septic-Details/Dependencies.csv,OK,1
DEL-006-06,PKG-006,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-06_Fixture-Schedule/Dependencies.csv,OK,2
DEL-006-07,PKG-006,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-07_Calculation-Package/Dependencies.csv,OK,2
DEL-006-08,PKG-006,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-006_Plumbing Design/1_Working/DEL-006-08_Specification/Dependencies.csv,OK,5
DEL-007-01,PKG-007,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-007_Landscape Architectural Design/1_Working/DEL-007-01_Preliminary-Design/Dependencies.csv,OK,2
DEL-007-02,PKG-007,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-007_Landscape Architectural Design/1_Working/DEL-007-02_Landscape-Plans/Dependencies.csv,OK,3
DEL-007-03,PKG-007,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-007_Landscape Architectural Design/1_Working/DEL-007-03_Planting-Plans/Dependencies.csv,OK,2
DEL-007-04,PKG-007,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-007_Landscape Architectural Design/1_Working/DEL-007-04_Specification/Dependencies.csv,OK,4
DEL-008-01,PKG-008,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-008_Geotechnical Investigation & Surveying/1_Working/DEL-008-01_Geotech-Investigation/Dependencies.csv,OK,0
DEL-008-02,PKG-008,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-008_Geotechnical Investigation & Surveying/1_Working/DEL-008-02_Preliminary-Survey/Dependencies.csv,OK,0
DEL-008-03,PKG-008,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-008_Geotechnical Investigation & Surveying/1_Working/DEL-008-03_Construction-Survey/Dependencies.csv,OK,1
