RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEP-01-07-001,PKG-001,DEL-01-07,Commissioning Training Closeout & Warranty,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,,,,OBJ-009 — Achieve operational handover readiness,Decomposition Phase 3 Objectives,DEL-01-07 implements OBJ-009: Achieve operational handover readiness including commissioning training closeout documentation legal survey and warranty support,Datasheet.md,Datasheet > Identification > Objective Supported,Objective Supported: OBJ-009,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Validated against decomposition Phase 3 objectives table. OBJ-009 confirmed.
v3.1,DEP-01-07-002,PKG-001,DEL-01-07,Commissioning Training Closeout & Warranty,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0013,SOW-0013 — Commissioning narrative/approach and execute commissioning training closeout procedures,Decomposition SSOW,DEL-01-07 traces to SOW-0013: Provide commissioning narrative/approach; execute commissioning training and closeout procedures; complete and deliver As-Built drawings O&M manuals and related documents,Datasheet.md,Datasheet > Identification > Scope Items Covered,Scope Items Covered: SOW-0013,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Validated against decomposition scope ledger — SOW-0013 maps to DEL-01-07.
v3.1,DEP-01-07-003,PKG-001,DEL-01-07,Commissioning Training Closeout & Warranty,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0014,SOW-0014 — Deficiency process and warranty-period review,Decomposition SSOW,DEL-01-07 traces to SOW-0014: Correct deficiencies manage deficiency process and support warranty-period review (12-month) and correction of warranty issues,Datasheet.md,Datasheet > Identification > Scope Items Covered,Scope Items Covered: SOW-0014,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Validated against decomposition scope ledger — SOW-0014 maps to DEL-01-07.
v3.1,DEP-01-07-004,PKG-001,DEL-01-07,Commissioning Training Closeout & Warranty,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0015,SOW-0015 — Substantial Performance/Occupancy delivery,Decomposition SSOW,DEL-01-07 traces to SOW-0015: Achieve Substantial Performance/Occupancy by delivering occupancy permit final commissioning docs O&M manuals As-Built drawings and legal survey,Datasheet.md,Datasheet > Identification > Scope Items Covered,Scope Items Covered: SOW-0015,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Validated against decomposition scope ledger — SOW-0015 maps to DEL-01-07.
v3.1,DEP-01-07-005,PKG-001,DEL-01-07,Commissioning Training Closeout & Warranty,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0016,SOW-0016 — 12-month all-inclusive warranty and manufacturer warranty assignment,Decomposition SSOW,DEL-01-07 traces to SOW-0016: Provide warranties — 12-month all-inclusive warranty on materials/workmanship from occupancy permit date; assign manufacturer warranties to Owner,Datasheet.md,Datasheet > Identification > Scope Items Covered,Scope Items Covered: SOW-0016,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Validated against decomposition scope ledger — SOW-0016 maps to DEL-01-07.
v3.1,DEP-01-07-006,PKG-001,DEL-01-07,Commissioning Training Closeout & Warranty,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0113,SOW-0113 — Certified as-built legal/topographical survey,Decomposition SSOW,DEL-01-07 traces to SOW-0113: Provide a certified as-built legal/topographical survey at completion,Datasheet.md,Datasheet > Identification > Scope Items Covered,Scope Items Covered: SOW-0113,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Validated against decomposition scope ledger — SOW-0113 maps to DEL-01-07.
v3.1,DEP-01-07-007,PKG-001,DEL-01-07,Commissioning Training Closeout & Warranty,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-001,DEL-01-04,,DEL-01-04 Permitting Inspections & AHJ Coordination,,DEL-01-07 requires AHJ inspection results occupancy permit process and fire code compliance outputs from DEL-01-04 as prerequisites for the Substantial Performance gate,Datasheet.md,Datasheet > Dependencies and Interfaces > DEL-01-04 row,"DEL-01-04 AHJ inspection activities fire code compliance and occupancy permit directly feed into SP gate",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Datasheet explicitly names DEL-01-04 and describes information flow. Guidance C3A provides extensive coordination detail. Validated: DEL-01-04 exists in decomposition PKG-001.
v3.1,DEP-01-07-008,PKG-001,DEL-01-07,Commissioning Training Closeout & Warranty,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-001,DEL-01-01,,DEL-01-01 Integrated Design Management & Submission Packages,,DEL-01-07 requires the Design Brief from DEL-01-01 to identify all building systems requiring commissioning and to scope the commissioning plan,Procedure.md,Procedure > Proposal Phase Prerequisites > System scope understood,"All building systems to be commissioned must be identified from the Design Brief (DEL-01-01)",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Procedure explicitly names DEL-01-01 as source for system scope identification. Validated: DEL-01-01 exists in decomposition PKG-001.
v3.1,DEP-01-07-009,PKG-001,DEL-01-07,Commissioning Training Closeout & Warranty,EXECUTION,NOT_APPLICABLE,UPSTREAM,CONSTRAINT,DOCUMENT,,,,,_Sources/,DEL-01-07 requires RFP 2024_004 sections 7.3.6 7.3.7 7.4 7.5 7.6 as governing input before drafting commissioning narrative,Procedure.md,Procedure > Proposal Phase Prerequisites > RFP 2024_004 reviewed,"Sections 7.3.6 7.3.7 7.4 7.5 7.6 must be understood before drafting the narrative",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Procedure explicitly lists RFP sections as prerequisites. _REFERENCES.md confirms RFP location in _Sources/.
v3.1,DEP-01-07-010,PKG-001,DEL-01-07,Commissioning Training Closeout & Warranty,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,PACKAGE,PKG-002,,,PKG-002 Main Public Services Building (PSB) — all design discipline outputs,,DEL-01-07 requires as-built field markups and design outputs from all PKG-002 discipline deliverables to produce as-built drawings and O&M manuals,Datasheet.md,Datasheet > Dependencies and Interfaces > All design disciplines,"As-built drawings must cover architectural structural electrical mechanical plumbing and other disciplines",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Datasheet explicitly requires outputs from all design disciplines. Procedure B2/B6/B7 elaborate. PKG-002 validated in decomposition.
v3.1,DEP-01-07-011,PKG-001,DEL-01-07,Commissioning Training Closeout & Warranty,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,PACKAGE,PKG-003,,,PKG-003 Site & Civil Works — civil/site design outputs,,DEL-01-07 requires civil/site as-built data from PKG-003 deliverables for as-built drawing package and legal survey coordination,Datasheet.md,Datasheet > Dependencies and Interfaces > All design disciplines; Guidance Example As-Built Drawing Package,"Civil/site as-built drawings (service connections grading) listed in as-built package",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Guidance example explicitly lists civil/site as-built drawings. PKG-003 validated in decomposition.
v3.1,DEP-01-07-012,PKG-001,DEL-01-07,Commissioning Training Closeout & Warranty,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,EXTERNAL,,,,,N/A,DEL-01-07 requires O&M documentation testing certificates warranties and start-up reports from all subcontractors vendors and manufacturers to assemble O&M manuals,Datasheet.md,Datasheet > Dependencies and Interfaces > Vendors and manufacturers,"Cx plan coordinates with vendors; manufacturer warranties assigned to Owner",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Datasheet and Procedure B1/B7 explicitly require subcontractor/vendor data collection as inputs.
v3.1,DEP-01-07-013,PKG-001,DEL-01-07,Commissioning Training Closeout & Warranty,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,EXTERNAL,,,,,N/A,DEL-01-07 produces the comprehensive deficiency list with monetary values which is provided to the Payment Certifier for retention calculation,Datasheet.md,Datasheet > Dependencies and Interfaces > Payment Certifier,"Retains funds from progress draws to cover unfinished/deficient work",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Datasheet explicitly identifies Payment Certifier as downstream consumer. Procedure B9 confirms artifact handover.
v3.1,DEP-01-07-014,PKG-001,DEL-01-07,Commissioning Training Closeout & Warranty,EXECUTION,NOT_APPLICABLE,UPSTREAM,CONSTRAINT,DOCUMENT,,,,,location TBD,DEL-01-07 is constrained by CCDC 14-2013 supplementary conditions which define Substantial Performance and Payment Certifier roles and may modify retention rights,Specification.md,Specification > Standards > CCDC 14-2013 row,"Design-Build contract form; defines Substantial Performance and Payment Certifier roles",EXPLICIT,TBD,TBD,TBD,MEDIUM,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Specification Standards table explicitly references CCDC 14-2013 as applicable. Document not yet accessible — location TBD. See OI-01-07-001.
