RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEP-02-01-001,PKG-002,DEL-02-01,Architectural Program Layout & Code Planning,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,,,,DEL-02-01_Architectural-Program-and-Space-Planning (PKG-002),_Decomposition/Penhold_PSB_Project_Decomposition_FINAL_v1.0_PHASE7.md,DEL-02-01 implements decomposition node DEL-02-01_Architectural-Program-and-Space-Planning under PKG-002 covering SOW-0200 SOW-0207-0208 SOW-0218-0220 SOW-0229 SOW-0600-0601,Datasheet.md,Datasheet > Identification > Decomposition Reference,Decomposition Reference: Penhold_PSB_Project_Decomposition_FINAL_v1.0_PHASE7.md; PKG-002 deliverables table,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Validated against decomposition: node confirmed in PKG-002 deliverables table.
v3.1,DEP-02-01-002,PKG-002,DEL-02-01,Architectural Program Layout & Code Planning,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0200,Integrated PSB design and construction,,Traces to SOW-0200: Design and construct a new integrated Public Services Building,Datasheet.md,Datasheet > Identification > Package; Decomposition Scope Ledger SOW-0200,Design and construct a new integrated Public Services Building to house Public Works Operations and the Fire Department,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. SOW-0200 confirmed mapped to DEL-02-01 in decomposition scope ledger.
v3.1,DEP-02-01-003,PKG-002,DEL-02-01,Architectural Program Layout & Code Planning,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0207,Shared spaces program,,Traces to SOW-0207: Provide shared spaces including kitchen/breakroom washrooms offices meeting/training,Datasheet.md,Datasheet > Space Program; Decomposition Scope Ledger SOW-0207,Provide shared spaces including: kitchen/breakroom for 40 people; washrooms; offices; meeting/training space,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. SOW-0207 confirmed mapped to DEL-02-01 in decomposition scope ledger.
v3.1,DEP-02-01-004,PKG-002,DEL-02-01,Architectural Program Layout & Code Planning,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0208,Meeting room for 40 with 15 EM workstations,,Traces to SOW-0208: Provide meeting room for 40 people with 15 emergency management workstations,Datasheet.md,Datasheet > Space Program; Decomposition Scope Ledger SOW-0208,Meeting/Training Room: 40 people; 15 emergency management workstations,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. SOW-0208 confirmed mapped to DEL-02-01 in decomposition scope ledger.
v3.1,DEP-02-01-005,PKG-002,DEL-02-01,Architectural Program Layout & Code Planning,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0218,Ceiling system approach,,Traces to SOW-0218: DB to propose ceiling approach for durability acoustics and code compliance,Datasheet.md,Datasheet > Conditions > Open Issues SOW-0218; Decomposition Scope Ledger SOW-0218,Ceiling system is not prescribed by Owner; Design-Builder to propose a ceiling approach,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. SOW-0218 confirmed mapped to DEL-02-01 in decomposition scope ledger.
v3.1,DEP-02-01-006,PKG-002,DEL-02-01,Architectural Program Layout & Code Planning,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0219,Accessibility per Alberta Building Code,,Traces to SOW-0219: Provide accessibility accommodations as required by Alberta Building Code,Specification.md,Specification > REQ-02-01-006; Decomposition Scope Ledger SOW-0219,Provide accessibility accommodations as required by Alberta Building Code,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. SOW-0219 confirmed mapped to DEL-02-01 in decomposition scope ledger.
v3.1,DEP-02-01-007,PKG-002,DEL-02-01,Architectural Program Layout & Code Planning,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0220,Adaptability flexibility and expansion,,Traces to SOW-0220: Demonstrate building adaptability flexibility and potential for expansion,Specification.md,Specification > REQ-02-01-011; Decomposition Scope Ledger SOW-0220,Demonstrate building durability/ease of repair and adaptability/flexibility/potential for expansion,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. SOW-0220 confirmed mapped to DEL-02-01 in decomposition scope ledger.
v3.1,DEP-02-01-008,PKG-002,DEL-02-01,Architectural Program Layout & Code Planning,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0229,Code-required signage,,Traces to SOW-0229: Provide signage required by code and Town requirements as part of base scope,Specification.md,Specification > REQ-02-01-009; Decomposition Scope Ledger SOW-0229,Provide signage required by code and Town requirements as part of base,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. SOW-0229 confirmed mapped to DEL-02-01 in decomposition scope ledger.
v3.1,DEP-02-01-009,PKG-002,DEL-02-01,Architectural Program Layout & Code Planning,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0600,Program dimension flexibility,,Traces to SOW-0600: Functional Program intentionally leaves some dimensions open for innovative cost-effective solutions,Specification.md,Specification > REQ-02-01-012; Decomposition Scope Ledger SOW-0600,Spaces are intentionally left without dimensions to allow innovative cost-effective solutions,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. SOW-0600 confirmed mapped to DEL-02-01 in decomposition scope ledger.
v3.1,DEP-02-01-010,PKG-002,DEL-02-01,Architectural Program Layout & Code Planning,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0601,Two-storey configuration option,,Traces to SOW-0601: Building configuration may include a second storey for shared spaces,Specification.md,Specification > REQ-02-01-010; Decomposition Scope Ledger SOW-0601,Building configuration may include a second storey for shared spaces if desired by Design-Builder,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. SOW-0601 confirmed mapped to DEL-02-01 in decomposition scope ledger.
