RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEP-0201-A01,PKG-002,DEL-02-01,Architectural Concept Package,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,PKG-002,,,PKG-002 -- Conceptual Design,Decomposition > Section 8 > PKG-002,DEL-02-01 is defined under PKG-002 (Conceptual Design) as the architectural concept drawings deliverable,Datasheet.md,Identification > Package,Package: PKG-002 -- Conceptual Design,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Parent anchor confirmed via Decomposition Section 9 DEL-02-01 definition and Datasheet Identification table.
v3.1,DEP-0201-A02,PKG-002,DEL-02-01,Architectural Concept Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,,SOW-0009 -- Concept Design Package,Decomposition > Section 7,DEL-02-01 covers SOW-0009: Produce Proposed Conceptual Design package per Section 7.1.1,Datasheet.md,Identification > Scope Items Covered,"SOW-0009 (Concept Design Package), SOW-0010 (Program Clarifications)",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Explicit scope item mapping in both Decomposition and Datasheet.
v3.1,DEP-0201-A03,PKG-002,DEL-02-01,Architectural Concept Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,,SOW-0010 -- Embed Program Clarifications & Special Requirements,Decomposition > Section 7,DEL-02-01 covers SOW-0010: Verify and embed all program clarifications from Addendum 01 and 03 into concept,Datasheet.md,Identification > Scope Items Covered,"SOW-0009 (Concept Design Package), SOW-0010 (Program Clarifications)",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Explicit scope item mapping in both Decomposition and Datasheet.
v3.1,DEP-0201-A04,PKG-002,DEL-02-01,Architectural Concept Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,,OBJ-003 -- Maximize Proposed Conceptual Design score (20 pts),Decomposition > Section 6,DEL-02-01 directly supports OBJ-003: the highest-weighted single technical criterion,Datasheet.md,Identification > Objective Alignment,OBJ-003: Maximize Proposed Conceptual Design score (20 pts),EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Explicit objective alignment in Decomposition and Datasheet.
v3.1,DEP-0201-E01,PKG-002,DEL-02-01,Architectural Concept Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-002,DEL-02-02,,DEL-02-02 -- Civil Site Concept Plan,Decomposition > Section 9 > DEL-02-02,DEL-02-01 requires from DEL-02-02: 12-acre developable area boundary with flood fringe distinguished; recommended building footprint placement; parking layout; fire apparatus access routes; utility connection points; Cold Storage placement,Procedure.md,Steps > Step 4 > Civil Engineer (DEL-02-02 lead) provides,"Definitive 12-acre developable area boundary with flood fringe clearly distinguished",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Explicit data transfer: Civil provides site boundary and placement inputs required before floor plan finalization.
v3.1,DEP-0201-E02,PKG-002,DEL-02-01,Architectural Concept Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-002,DEL-02-03,,DEL-02-03 -- Structural Concept Narrative,Decomposition > Section 9 > DEL-02-03,DEL-02-01 requires from DEL-02-03: proposed structural system; column grid layout overlay; slab sump integration zones; floor-to-floor heights; geotechnical assumptions from 2021 report,Procedure.md,Steps > Step 4 > Structural Engineer (DEL-02-03 lead) provides,"Proposed structural system that supports apparatus bay clear-spans",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Explicit data transfer: column grid governs architectural floor plan layout per Procedure Step 4.
v3.1,DEP-0201-E03,PKG-002,DEL-02-01,Architectural Concept Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-002,DEL-02-04,,DEL-02-04 -- Mechanical Concept Narrative,Decomposition > Section 9 > DEL-02-04,DEL-02-01 requires from DEL-02-04: apparatus bay direct exhaust strategy; bunker gear room ventilation approach; generator location preference; fill station locations; mechanical room sizing; sump drainage strategy,Procedure.md,Steps > Step 4 > Mechanical Engineer (DEL-02-04 lead) provides,"Apparatus bay direct exhaust ventilation strategy: where does exhaust duct rise vertically?",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Explicit data transfer: ductwork zones and mechanical room sizing must be spatially reserved on floor plan.
v3.1,DEP-0201-E04,PKG-002,DEL-02-01,Architectural Concept Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-002,DEL-02-05,,DEL-02-05 -- Electrical/IT Concept Narrative,Decomposition > Section 9 > DEL-02-05,DEL-02-01 requires from DEL-02-05: solar-capable roof orientation decision; electrical room location and size; generator connection point and ATS location; solar rough-in provisions; access control device locations,Procedure.md,Steps > Step 4 > Electrical Engineer (DEL-02-05 lead) provides,"Solar-capable roof orientation decision: this decision governs elevation design",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Explicit data transfer: solar orientation must be confirmed before finalizing roof design on elevations.
v3.1,DEP-0201-E05,PKG-002,DEL-02-01,Architectural Concept Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,,RFP Appendix A -- Owner Statement of Requirements (OSR),_Sources/AB-2024-07156-Penhold Public Services Building RFP_2024_004.pdf,DEL-02-01 requires extraction of bay count and operational requirements from Appendix A (OSR) before floor plan layout can proceed; this is a gated prerequisite (V-00),Procedure.md,Prerequisites > V-00: Prerequisite Validation Checkpoint,"Key operational requirements extracted: fire apparatus fleet composition and bay count",EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Explicit blocking prerequisite: Procedure V-00 gate rule states do not proceed to Step 2 until Appendix A extraction is validated.
v3.1,DEP-0201-E06,PKG-002,DEL-02-01,Architectural Concept Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,,RFP Appendix B -- Functional Program,_Sources/AB-2024-07156-Penhold Public Services Building RFP_2024_004.pdf,DEL-02-01 requires complete room list extraction from Appendix B before program analysis and AR-018 verification; this is a gated prerequisite (V-00),Procedure.md,Prerequisites > V-00: Prerequisite Validation Checkpoint,"Complete room list extracted: room names target areas equipment requirements",EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Explicit blocking prerequisite: Procedure V-00 gate rule states do not proceed to Step 2 until Appendix B extraction is validated.
v3.1,DEP-0201-E07,PKG-002,DEL-02-01,Architectural Concept Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,CONSTRAINT,DOCUMENT,,,,RFP Addendum 03 (Jul 31 2024),_Sources/AB-2024-07156-Penhold_Public Services Building Addendum03.pdf,Addendum 03 governs room sizing ranges and special requirements that must be embedded in all concept drawings; addendum values override base RFP where they differ,Datasheet.md,References,"Addendum 03 -- GOVERNS per Decomposition S2; must be fully embedded in drawings",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Addendum 03 is the governing constraint document per Decomposition Section 2 rule.
v3.1,DEP-0201-E08,PKG-002,DEL-02-01,Architectural Concept Package,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,DELIVERABLE,PKG-003,DEL-03-01,,DEL-03-01 -- Architectural Design Brief,Decomposition > Section 9 > DEL-03-01,DEL-02-01 produces approved concept floor plan and elevations handed off to DEL-03-01 as basis for design intent narrative and code compliance approach,Procedure.md,Records > Handoff to Downstream Deliverables,"Approved concept floor plan + elevations as basis for design intent narrative",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Explicit handover stated in Procedure Handoff table.
