RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEP-03-02-001,PKG-003,DEL-03-02,Civil Design Brief,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,,,,SOW-0011,Decomposition §7,DEL-03-02 implements SOW-0011: Design Brief (5 sub-briefs),Datasheet.md,Identification > Scope Item,"Scope Item: SOW-0011: Design Brief (5 sub-briefs)",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Confirmed in Decomposition §7 and §9 and §10 scope ledger.
v3.1,DEP-03-02-002,PKG-003,DEL-03-02,Civil Design Brief,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,,OBJ-004,Decomposition §6,DEL-03-02 supports OBJ-004: Deliver a strong Design Brief (5 pts),Datasheet.md,Identification > Objective,"Objective: OBJ-004: Deliver a strong Design Brief (5 pts)",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Confirmed in Decomposition §6 and §9 and _CONTEXT.md.
v3.1,DEP-03-02-003,PKG-003,DEL-03-02,Civil Design Brief,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,,RFP Section 7.1.2(2),RFP,Civil Design Brief scope defined by RFP Section 7.1.2(2) -- seven required topics,Datasheet.md,Identification > RFP Authority,"RFP Authority: Section 7.1.2(2)",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. RFP section explicitly defines the seven civil brief topics.
v3.1,DEP-03-02-004,PKG-003,DEL-03-02,Civil Design Brief,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-002,DEL-02-02,,Civil Site Concept Plan,Decomposition §9,DEL-03-02 requires draft or substantially complete DEL-02-02 as input; brief explains rationale behind civil decisions shown in concept,Procedure.md,Prerequisites table,"Civil Site Concept Plan (DEL-02-02) -- Required -- draft or substantially complete",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Procedure states Required status at start; brief is the written rationale for decisions in concept.
v3.1,DEP-03-02-005,PKG-003,DEL-03-02,Civil Design Brief,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-002,DEL-02-01,,Architectural Concept Package,Decomposition §9,DEL-03-02 requires draft DEL-02-01 for building footprint and parking layout and orientation,Procedure.md,Prerequisites table,"Architectural Concept Package (DEL-02-01) -- Required -- draft",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Building footprint and orientation must be known before civil rationale can be written.
v3.1,DEP-03-02-006,PKG-003,DEL-03-02,Civil Design Brief,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-002,DEL-02-03,,Structural Concept Narrative,Decomposition §9,DEL-03-02 references DEL-02-03 for grading approach and foundation drainage coordination,Procedure.md,Prerequisites table,"Structural Concept Narrative (DEL-02-03) -- Reference -- grading approach and foundation drainage must be coordinated",EXPLICIT,TBD,TBD,TBD,MEDIUM,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Listed as Reference prerequisite for coordination of grading and foundation drainage.
v3.1,DEP-03-02-007,PKG-003,DEL-03-02,Civil Design Brief,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-002,DEL-02-04,,Mechanical Concept Narrative,Decomposition §9,DEL-03-02 references DEL-02-04 for utility service points and sump drainage routing and fill station locations,Procedure.md,Prerequisites table,"Mechanical Concept Narrative (DEL-02-04) -- Reference -- Utility service points and sump drainage routing inform civil utility section",EXPLICIT,TBD,TBD,TBD,MEDIUM,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Listed as Reference prerequisite for utility service point coordination.
v3.1,DEP-03-02-008,PKG-003,DEL-03-02,Civil Design Brief,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,,Appendix D -- Geotechnical Investigation Report (2021),RFP Appendix D,DEL-03-02 requires 2021 geotechnical report as reference input for grading and utility installation approach,Procedure.md,Prerequisites table,"Appendix D -- Geotechnical Investigation Report (2021) -- Reference Input",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Also referenced in Specification R-CDB-06 and R-CDB-10 and Datasheet Conditions.
v3.1,DEP-03-02-009,PKG-003,DEL-03-02,Civil Design Brief,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,,Appendix D -- Wetland Assessment and Impact Report,RFP Appendix D,DEL-03-02 requires wetland assessment as reference input for site layout and drainage design,Procedure.md,Prerequisites table,"Appendix D -- Wetland Assessment and Impact Report -- Reference Input",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Also required by Specification R-CDB-App-D.
v3.1,DEP-03-02-010,PKG-003,DEL-03-02,Civil Design Brief,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,,Appendix D -- Desktop Environmental Assessment (Ghostpine),RFP Appendix D,DEL-03-02 requires environmental assessment as reference input for site planning,Procedure.md,Prerequisites table,"Desktop Environmental Assessment -- Ghostpine (Appendix D) -- Reference Input",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Also required by Specification R-CDB-App-D.
