RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEP-03-04-001,PKG-003,DEL-03-04,Mechanical Design Brief,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,,,,SOW-0011,Decomposition v2.3 §7 / §10,DEL-03-04 implements scope item SOW-0011 (Design Brief -- 5 sub-briefs),Datasheet.md,Datasheet > Identification > Scope Coverage,Scope Coverage: SOW-0011,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Validated against decomposition: SOW-0011 maps to PKG-003 and DEL-03-04.
v3.1,DEP-03-04-002,PKG-003,DEL-03-04,Mechanical Design Brief,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,,OBJ-004,Decomposition v2.3 §6,DEL-03-04 supports objective OBJ-004 (Deliver a strong Design Brief -- 5 pts),Datasheet.md,Datasheet > Identification > Supports Objectives,Supports Objectives: OBJ-004,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Validated against decomposition: OBJ-004 = Design Brief 5 pts.
v3.1,DEP-03-04-003,PKG-003,DEL-03-04,Mechanical Design Brief,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,DOCUMENT,,,,RFP Section 7.1.2(4),location TBD,DEL-03-04 traces to RFP Section 7.1.2(4) -- design brief requirement for mechanical discipline,Datasheet.md,Datasheet > Identification > RFP Reference,RFP Reference: Section 7.1.2(4),EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. RFP section explicitly named as governing requirement.
v3.1,DEP-03-04-004,PKG-003,DEL-03-04,Mechanical Design Brief,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-002,DEL-02-04,,,PKG-002 folder,DEL-03-04 requires DEL-02-04 (Mechanical Concept Narrative) as input -- brief explains and justifies concept selections,Procedure.md,Procedure > Prerequisites > Information Required Before Starting,DEL-02-04 -- Required; brief explains concept decisions,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Procedure explicitly lists as Required input.
v3.1,DEP-03-04-005,PKG-003,DEL-03-04,Mechanical Design Brief,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-002,DEL-02-01,,,PKG-002 folder,DEL-03-04 requires DEL-02-01 (Architectural Concept Plan) for bay layout and room locations and ceiling heights,Procedure.md,Procedure > Prerequisites > Information Required Before Starting,Architectural Concept Plan (DEL-02-01) -- Required,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Procedure explicitly lists as Required input for bay layout and room locations.
v3.1,DEP-03-04-006,PKG-003,DEL-03-04,Mechanical Design Brief,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-002,DEL-02-03,,,PKG-002 folder,DEL-03-04 requires DEL-02-03 (Structural Concept Narrative) for slab design for sumps and equipment support,Procedure.md,Procedure > Prerequisites > Information Required Before Starting,Structural Concept Narrative (DEL-02-03) -- Required,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Procedure explicitly lists as Required input for sump slab design.
v3.1,DEP-03-04-007,PKG-003,DEL-03-04,Mechanical Design Brief,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-002,DEL-02-02,,,PKG-002 folder,DEL-03-04 requires DEL-02-02 (Civil Site Concept Plan) for utility connections and drainage routing,Procedure.md,Procedure > Prerequisites > Information Required Before Starting,Civil Site Concept Plan (DEL-02-02) -- Required,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Procedure explicitly lists as Required input for utility connections.
v3.1,DEP-03-04-008,PKG-003,DEL-03-04,Mechanical Design Brief,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-002,DEL-02-05,,,PKG-002 folder,DEL-03-04 requires DEL-02-05 (Electrical/IT Concept Narrative) for generator integration and power for HVAC,Procedure.md,Procedure > Prerequisites > Information Required Before Starting,Electrical/IT Concept Narrative (DEL-02-05) -- Required,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Procedure explicitly lists as Required input for generator integration.
v3.1,DEP-03-04-009,PKG-003,DEL-03-04,Mechanical Design Brief,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-004,DEL-04-02,,,PKG-004 folder,DEL-03-04 interfaces with DEL-04-02 (Mechanical Energy and Solar Readiness) -- energy efficiency rationale excluded from brief and covered in DEL-04-02,Procedure.md,Procedure > Prerequisites > Information Required Before Starting,Draft DEL-04-02 -- Coordination only -- energy efficiency rationale,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Explicit scope boundary: energy efficiency excluded from DEL-03-04 and covered in DEL-04-02.
v3.1,DEP-03-04-010,PKG-003,DEL-03-04,Mechanical Design Brief,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-005,DEL-05-03,,,PKG-005 folder,DEL-03-04 interfaces with DEL-05-03 (Mechanical Maintainability) -- lifecycle cost detail excluded from brief and covered in DEL-05-03,Procedure.md,Procedure > Prerequisites > Information Required Before Starting,Draft DEL-05-03 -- Coordination only -- lifecycle detail,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Explicit scope boundary: lifecycle detail excluded from DEL-03-04 and covered in DEL-05-03.
v3.1,DEP-03-04-011,PKG-003,DEL-03-04,Mechanical Design Brief,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,INTERFACE,DELIVERABLE,PKG-003,DEL-03-03,,,PKG-003 folder,DEL-03-04 provides mechanical sump and equipment data to DEL-03-03 (Structural Design Brief) for slab and support load coordination,Guidance.md,Guidance > Principles > P-003,Structural: Floor slab design for bay sumps; mechanical equipment support loads,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Bidirectional interface; mechanical provides equipment loads and sump requirements to structural.
v3.1,DEP-03-04-012,PKG-003,DEL-03-04,Mechanical Design Brief,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,INTERFACE,DELIVERABLE,PKG-003,DEL-03-02,,,PKG-003 folder,DEL-03-04 provides sump discharge routing and utility connection requirements to DEL-03-02 (Civil Design Brief),Guidance.md,Guidance > Principles > P-003,Civil: Sump drainage discharge routing to storm or sanitary system; utility service connections,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Bidirectional interface; mechanical provides sump discharge and utility needs to civil.
v3.1,DEP-03-04-013,PKG-003,DEL-03-04,Mechanical Design Brief,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,INTERFACE,DELIVERABLE,PKG-003,DEL-03-05,,,PKG-003 folder,DEL-03-04 provides HVAC power requirements and generator scope to DEL-03-05 (Electrical/IT Design Brief) for coordination,Guidance.md,Guidance > Principles > P-003,Electrical: Power distribution for HVAC pumps and controls; generator integration with ATS,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Bidirectional interface; mechanical provides power requirements to electrical.
v3.1,DEP-03-04-014,PKG-003,DEL-03-04,Mechanical Design Brief,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-003,DEL-03-01,,,PKG-003 folder,DEL-03-04 requires mechanical room and equipment placement feasibility from DEL-03-01 (Architectural Design Brief),Specification.md,Specification > Documentation > Cross-Deliverable Supporting References,DEL-03-01 -- Building layout for mechanical room and equipment placement and ductwork routing,EXPLICIT,TBD,TBD,TBD,MEDIUM,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Specification explicitly names architectural layout as coordination input for mechanical room and ductwork.
v3.1,DEP-03-04-015,PKG-003,DEL-03-04,Mechanical Design Brief,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,INTERFACE,DELIVERABLE,PKG-003,DEL-03-06,,,PKG-003 folder,DEL-03-04 excludes adaptability narrative for mechanical systems -- covered in DEL-03-06 (Accessibility and Adaptability Narrative),Specification.md,Specification > Scope > What this deliverable excludes,Adaptability/flexibility/expansion narrative for mechanical systems (covered in DEL-03-06),EXPLICIT,TBD,TBD,TBD,MEDIUM,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Explicit scope exclusion; adaptability content flows to DEL-03-06.
v3.1,DEP-03-04-016,PKG-003,DEL-03-04,Mechanical Design Brief,EXECUTION,NOT_APPLICABLE,UPSTREAM,CONSTRAINT,DOCUMENT,,,,Addendum 03,_Sources/ folder,DEL-03-04 must comply with all seven Addendum 03 mechanical clarifications (M-001 through M-007) -- addendum governs over RFP where conflicting,Specification.md,Specification > Requirements > R-A,Addendum 03 governs over the base RFP where there is conflict,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Non-negotiable constraint per Decomposition Section 2 Rule.
v3.1,DEP-03-04-017,PKG-003,DEL-03-04,Mechanical Design Brief,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DOCUMENT,,,,2021 Geotechnical Investigation Report (Appendix D),location TBD,DEL-03-04 references geotechnical report for site and drainage context affecting mechanical systems layout,Datasheet.md,Datasheet > References,2021 Geotechnical Investigation Report (Appendix D) -- site and drainage context,EXPLICIT,TBD,TBD,TBD,MEDIUM,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Datasheet references geotech report; Decomposition DEC-013 confirms existing report only basis.
