RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEP-03-05-001,PKG-003,DEL-03-05,Electrical/IT Design Brief,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,,,,SOW-0011,Decomposition Scope Ledger,DEL-03-05 implements SOW-0011 (Design Brief -- 5 sub-briefs) as the electrical/IT sub-brief under PKG-003,Datasheet.md,Identification > Source Scope Item(s),Source Scope Item(s): SOW-0011,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Confirmed in Decomposition v2.3 scope ledger: SOW-0011 maps to DEL-03-05 under PKG-003.
v3.1,DEP-03-05-002,PKG-003,DEL-03-05,Electrical/IT Design Brief,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,,OBJ-004,Decomposition Objectives,DEL-03-05 traces to OBJ-004 (Deliver a strong Design Brief -- 5 evaluation points),Datasheet.md,Identification > Objective Support,"OBJ-004 (Deliver a strong Design Brief -- 5 evaluation points)",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Confirmed in Decomposition v2.3 objectives table and evaluation crosswalk.
v3.1,DEP-03-05-003,PKG-003,DEL-03-05,Electrical/IT Design Brief,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-002,DEL-02-05,,Electrical/IT Concept Narrative,PKG-002_Conceptual_Design/1_Working/DEL-02-05_ElectricalITConceptNarrative/,DEL-03-05 requires DEL-02-05 (Electrical/IT Concept Narrative) as the foundational concept rationale before brief authoring can proceed,Procedure.md,Prerequisites > Upstream Dependencies,"concept rationale is the foundation for brief justification",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Procedure states DEL-02-05 required before Step 2 onward. Specification R-11 confirms alignment requirement.
v3.1,DEP-03-05-004,PKG-003,DEL-03-05,Electrical/IT Design Brief,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-002,DEL-02-01,,Architectural Concept Package,PKG-002_Conceptual_Design/1_Working/DEL-02-01_ArchitecturalConceptPackage/,DEL-03-05 requires DEL-02-01 (Architectural Concept) to confirm roof orientation for solar-readiness provisions,Procedure.md,Prerequisites > Upstream Dependencies,"needed to confirm roof orientation (flat/south/west/southwest per Addendum 03 s1.17)",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Procedure states DEL-02-01 required before Step 8. Specification R-06 requires roof orientation reference from DEL-02-01.
v3.1,DEP-03-05-005,PKG-003,DEL-03-05,Electrical/IT Design Brief,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-002,DEL-02-04,,Mechanical Concept Narrative,PKG-002_Conceptual_Design/1_Working/DEL-02-04_MechanicalConceptNarrative/,DEL-03-05 requires DEL-02-04 (Mechanical Concept) for generator sizing and critical load confirmation and HVAC controls integration assumptions,Procedure.md,Prerequisites > Upstream Dependencies,"needed to confirm generator sizing critical loads and HVAC controls integration assumptions",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Procedure states DEL-02-04 required before Step 3. Datasheet confirms generator capacity is TBD pending DEL-02-04. Specification R-10 requires substantive alignment.
v3.1,DEP-03-05-006,PKG-003,DEL-03-05,Electrical/IT Design Brief,EXECUTION,NOT_APPLICABLE,UPSTREAM,CONSTRAINT,DOCUMENT,,,,,_Sources/AB-2024-07156-Penhold_Public Services Building Addendum03.pdf,DEL-03-05 is constrained by Addendum 03 binding requirements: solar-readiness (s1.17) generator critical loads (s1.15) and site servicing (s1.6/s1.7),Procedure.md,Prerequisites > Upstream Dependencies,"ss1.6 1.7 1.15 1.17 are directly binding on electrical/IT design",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Four Addendum 03 sections impose binding constraints. Specification R-05/R-06/R-07 each cite Addendum 03 as authority.
v3.1,DEP-03-05-007,PKG-003,DEL-03-05,Electrical/IT Design Brief,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,,,_Sources/AB-2024-07156-Penhold Public Services Building RFP_2024_004.pdf,DEL-03-05 requires RFP Appendix B (Functional Program) as source of zone-level program data for power and IT requirements,Procedure.md,Prerequisites > Upstream Dependencies,"source of zone-level program data for power and IT requirements",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Procedure states Functional Program required before Step 1 (context).
v3.1,DEP-03-05-008,PKG-003,DEL-03-05,Electrical/IT Design Brief,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-003,DEL-03-04,,Mechanical Design Brief,PKG-003_Design_Brief/1_Working/DEL-03-04_MechanicalDesignBrief/,DEL-03-05 requires cross-check with DEL-03-04 (Mechanical Design Brief) for generator integration and overhead door openers and HVAC controls consistency,Procedure.md,Step 10: Integration Review,"Cross-check with Mechanical Brief (DEL-03-04): Generator integration overhead door openers HVAC controls",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Procedure Step 10 requires explicit cross-check. Specification R-10 confirms interface points must show substantive alignment.
v3.1,DEP-03-05-009,PKG-003,DEL-03-05,Electrical/IT Design Brief,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,DELIVERABLE,PKG-004,DEL-04-03,,Electrical Energy Efficiency,PKG-004_Sustainability_and_Energy/1_Working/DEL-04-03_ElectricalEnergyEfficiency/,DEL-03-05 produces design rationale (LED lighting and controls and solar-ready provisions) consumed by DEL-04-03 (Electrical Energy Efficiency),Specification.md,R-12: Consistency with Energy Efficiency and Maintainability Narratives,"Electrical design brief shall be consistent with Electrical Energy Efficiency (DEL-04-03)",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Specification R-12 and Datasheet Coordination Points confirm consistency requirement. Guidance C-07 references energy efficiency linkage.
v3.1,DEP-03-05-010,PKG-003,DEL-03-05,Electrical/IT Design Brief,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,DELIVERABLE,PKG-005,DEL-05-04,,Electrical Maintainability,PKG-005_Building_Durability_and_Maintenance/1_Working/DEL-05-04_ElectricalMaintainability/,DEL-03-05 produces maintainability-relevant design rationale consumed by DEL-05-04 (Electrical Maintainability),Specification.md,R-12: Consistency with Energy Efficiency and Maintainability Narratives,"Electrical design brief shall be consistent with Electrical Maintainability (DEL-05-04)",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-17,2026-02-17,ACTIVE,FACT. Specification R-12 and Datasheet Coordination Points and Guidance C-07 all confirm this handover.
