Role,PKG-001,PKG-002,PKG-003,PKG-004,PKG-005,PKG-006,PKG-007,PKG-008,PKG-009,PKG-010,TOTAL_HOURS,TOTAL_COST_CAD
architect,0,40,20,16,10,0,0,0,0,0,86,12710
architect_intermediate,0,24,0,0,0,0,0,0,0,0,24,2880
cad_technician,0,76,0,0,0,0,0,0,0,0,76,7220
civil_engineer,0,24,10,0,0,0,0,0,0,6,40,6200
civil_engineer_intermediate,0,16,0,0,0,0,0,0,0,0,16,2000
structural_engineer,0,16,10,0,8,0,0,0,0,0,34,5270
structural_engineer_intermediate,0,8,0,0,0,0,0,0,0,0,8,1000
mechanical_engineer,0,16,10,10,8,0,0,0,0,0,44,7040
mechanical_engineer_intermediate,0,8,0,0,0,0,0,0,0,0,8,1040
electrical_engineer,0,16,10,8,8,0,0,0,0,0,42,6510
electrical_engineer_intermediate,0,8,0,0,0,0,0,0,0,0,8,1000
geotechnical_engineer,0,0,0,0,0,0,0,0,0,4,4,620
pm,44,8,0,0,0,8,22,10,8,18,118,20650
design_manager,0,0,0,0,0,20,0,0,0,0,20,3300
construction_manager,0,0,0,0,0,0,20,0,4,4,28,4340
scheduler,0,0,0,0,0,0,0,0,20,0,20,2600
estimator_senior,72,0,0,0,0,0,0,0,0,0,72,10440
estimator_intermediate,40,0,0,0,0,0,0,0,0,0,40,4600
proposal_coordinator,48,0,0,0,0,0,0,0,0,0,48,5040
commissioning_lead,0,0,0,0,0,0,0,20,0,0,20,2800
quality_lead,0,0,0,0,0,0,8,0,0,0,8,1040
admin,18,0,0,0,0,0,0,0,0,0,18,1500
legal_review,4,0,0,0,0,0,0,0,0,0,4,1200
TOTAL_HOURS,226,260,60,34,34,28,50,30,32,32,786,
TOTAL_COST_CAD,30480,33580,9150,5400,5210,4700,7990,4550,4620,5320,,111000
