LineID,CBS,WBS_PackageID,WBS_DeliverableID,Description,Qty,Unit,UnitRate,Amount,Currency,Method,SourceRef,Confidence,Notes
A-010,PRD.COMP,PKG-001,DEL-01-05,Senior Estimator -- detailed cost breakdown compilation and Schedule A reconciliation,24,hr,145,3480,CAD,RATE_TABLE,Level_of_Effort.csv (DEL-01-05 R-18) + Professional_Staff_Rates.csv (R-18),MED,24 hrs per LoE; $145/hr per staff rates
A-020,PRD.COMP,PKG-001,DEL-01-05,Intermediate Estimator -- breakdown detail assembly and cross-reference checking,16,hr,115,1840,CAD,RATE_TABLE,Level_of_Effort.csv (DEL-01-05 R-19) + Professional_Staff_Rates.csv (R-19),MED,16 hrs per LoE; $115/hr per staff rates
A-030,PRD.COMP,PKG-001,DEL-01-05,Project Manager -- review and approval,4,hr,175,700,CAD,RATE_TABLE,Level_of_Effort.csv (DEL-01-05 R-02) + Professional_Staff_Rates.csv (R-02),MED,4 hrs per LoE; $175/hr per staff rates
B-GR-100,CON.GR,PKG-001,DEL-01-05,General Requirements -- design and engineering fees (architectural + civil + structural + mechanical + electrical + specialty),1,LS,640000,640000,CAD,RATE_TABLE,"DF-01 (7% arch) + DF-02 thru DF-05 (2.5% each x 4 disciplines) + DF-06/07/08 (specialty); see DEL-01-04 B-1100",MED,Reconciles to DEL-01-04 B-1100; includes coordination and management fee markup
B-GR-110,CON.GR,PKG-001,DEL-01-05,General Requirements -- performance bond (50% of contract price at 1.50%),1,LS,90000,90000,CAD,RATE_TABLE,"FP-01 (1.50% x $12M / 2); see DEL-01-04 B-1110",MED,Reconciles to DEL-01-04 B-1110
B-GR-120,CON.GR,PKG-001,DEL-01-05,General Requirements -- labour and materials payment bond (50% at 1.00%),1,LS,60000,60000,CAD,RATE_TABLE,"FP-02 (1.00% x $12M / 2); see DEL-01-04 B-1120",MED,Reconciles to DEL-01-04 B-1120
B-GR-130,CON.GR,PKG-001,DEL-01-05,General Requirements -- CCIP insurance (contractor controlled),1,LS,240000,240000,CAD,RATE_TABLE,"FP-03 (2.00% x $12M); see DEL-01-04 B-1130",LOW,CCIP per DEC-011; rate depends on risk profile
B-GR-140,CON.GR,PKG-001,DEL-01-05,General Requirements -- builder's risk insurance,1,LS,24000,24000,CAD,RATE_TABLE,"FP-04 (0.20% x $12M); see DEL-01-04 B-1140",MED,Reconciles to DEL-01-04 B-1140
B-GR-150,CON.GR,PKG-001,DEL-01-05,General Requirements -- general liability insurance,1,LS,90000,90000,CAD,RATE_TABLE,"FP-05 (0.75% x $12M); see DEL-01-04 B-1150",MED,Reconciles to DEL-01-04 B-1150
B-GR-160,CON.GR,PKG-001,DEL-01-05,General Requirements -- building permit,1,LS,65000,65000,CAD,RATE_TABLE,"FP-06 (0.75% x base construction $8.7M); see DEL-01-04 B-1160",LOW,Penhold fee schedule TBD
B-GR-170,CON.GR,PKG-001,DEL-01-05,General Requirements -- other permits (development + electrical + plumbing + gas),1,LS,7000,7000,CAD,RATE_TABLE,"FP-07 ($1200) + FP-08 ($2500) + FP-09 ($2000) + FP-10 ($1000); see DEL-01-04 B-1170",MED,Combined permit fees
B-GR-180,CON.GR,PKG-001,DEL-01-05,General Requirements -- utility connection fees,1,LS,39000,39000,CAD,ALLOWANCE,"FP-11 thru FP-15; see DEL-01-04 B-1180",LOW,Water + sewer + power + gas + telecom connection fees
B-GR-190,CON.GR,PKG-001,DEL-01-05,General Requirements -- environmental permits and consulting,1,LS,32000,32000,CAD,RATE_TABLE,"FP-16 ($5000) + FP-17 ($22000) + FP-18 ($4500); see DEL-01-04 B-1190",MED,Environmental regulatory + consulting fees
B-GR-195,CON.GR,PKG-001,DEL-01-05,General Requirements -- surety broker fee,1,LS,4000,4000,CAD,RATE_TABLE,"FP-19 ($3500 rounded); see DEL-01-04 B-1195",LOW,Broker fee for arranging bonds
