FromPackageID,FromDeliverableID,FromDeliverableName,DetailPath,RunContextPath,AssumptionsPath,RisksPath,SchemaStatus,Notes
PKG-01,DEL-01-01,Compliance Matrix & Checklist,EST_DEL-01-01_2026-02-18_2100/Detail.csv,EST_DEL-01-01_2026-02-18_2100/Run_Context.md,EST_DEL-01-01_2026-02-18_2100/Assumptions_Log.md,,OK,1 line; $840; RATE_TABLE
PKG-01,DEL-01-02,Formal Submission Package,EST_DEL-01-02_2026-02-18_1430/Detail.csv,EST_DEL-01-02_2026-02-18_1430/Run_Context.md,EST_DEL-01-02_2026-02-18_1430/Assumptions_Log.md,,OK,2 lines; $2170; RATE_TABLE
PKG-01,DEL-01-03,Bonding & Insurance Evidence,EST_DEL-01-03_2026-02-18_1500/Detail.csv,EST_DEL-01-03_2026-02-18_1500/Run_Context.md,EST_DEL-01-03_2026-02-18_1500/Assumptions_Log.md,,OK,9 lines; $543094; RATE_TABLE+ALLOWANCE (dual cost nature: production + premiums)
PKG-04,DEL-02-01,Concept Design Package,EST_DEL-02-01_2026-02-18_1400/Detail.csv,EST_DEL-02-01_2026-02-18_1400/Run_Context.md,EST_DEL-02-01_2026-02-18_1400/Assumptions_Log.md,,OK,12 lines; $29610; RATE_TABLE
PKG-04,DEL-02-02,Design Brief Narrative,EST_DEL-02-02_2026-02-18_2024/Detail.csv,EST_DEL-02-02_2026-02-18_2024/Run_Context.md,EST_DEL-02-02_2026-02-18_2024/Assumptions_Log.md,,OK,8 lines; $12170; RATE_TABLE
PKG-04,DEL-02-03,Sustainability & Energy Narrative,EST_DEL-02-03_2026-02-18_1500/Detail.csv,EST_DEL-02-03_2026-02-18_1500/Run_Context.md,EST_DEL-02-03_2026-02-18_1500/Assumptions_Log.md,,OK,4 lines; $4770; RATE_TABLE
PKG-05,DEL-03-01,Design Methodology Narrative,EST_DEL-03-01_2026-02-18_1400/Detail.csv,EST_DEL-03-01_2026-02-18_1400/Run_Context.md,EST_DEL-03-01_2026-02-18_1400/Assumptions_Log.md,,OK,2 lines; $2350; RATE_TABLE
PKG-05,DEL-03-02,Detailed Design & Construction Docs Plan,EST_DEL-03-02_2026-02-18_1430/Detail.csv,EST_DEL-03-02_2026-02-18_1430/Run_Context.md,EST_DEL-03-02_2026-02-18_1430/Assumptions_Log.md,,OK,2 lines; $2350; RATE_TABLE
PKG-06,DEL-04-01,Construction Methodology Narrative,EST_DEL-04-01_2026-02-18_2300/Detail.csv,EST_DEL-04-01_2026-02-18_2300/Run_Context.md,EST_DEL-04-01_2026-02-18_2300/Assumptions_Log.md,,OK,2 lines; $2870; RATE_TABLE
PKG-06,DEL-04-02,Budget Control & Change Management Plan,EST_DEL-04-02_2026-02-18_2400/Detail.csv,EST_DEL-04-02_2026-02-18_2400/Run_Context.md,EST_DEL-04-02_2026-02-18_2400/Assumptions_Log.md,,OK,2 lines; $2020; RATE_TABLE
PKG-06,DEL-04-03,Communications & Reporting Plan,EST_DEL-04-03_2026-02-18_2345/Detail.csv,EST_DEL-04-03_2026-02-18_2345/Run_Context.md,EST_DEL-04-03_2026-02-18_2345/Assumptions_Log.md,,OK,2 lines; $1670; RATE_TABLE
PKG-02,DEL-05-01,Schedule A -- Pricing Summary,EST_DEL-05-01_2026-02-18_1400/Detail.csv,EST_DEL-05-01_2026-02-18_1400/Run_Context.md,EST_DEL-05-01_2026-02-18_1400/Assumptions_Log.md,,OK,24 lines; $10738960; RATE_TABLE+PARAMETRIC+ALLOWANCE (dual cost: production $9960 + construction $10729000)
PKG-02,DEL-05-02,Schedule B -- Cost Breakdown,EST_DEL-05-02_2026-02-18_1500/Detail.csv,EST_DEL-05-02_2026-02-18_1500/Run_Context.md,EST_DEL-05-02_2026-02-18_1500/Assumptions_Log.md,,OK,98 lines; $10735020; RATE_TABLE+PARAMETRIC+ALLOWANCE (dual cost: production $6020 + construction $10729000)
PKG-02,DEL-05-03,Pricing Narrative & Assumptions,EST_DEL-05-03_2026-02-18_1430/Detail.csv,EST_DEL-05-03_2026-02-18_1430/Run_Context.md,EST_DEL-05-03_2026-02-18_1430/Assumptions_Log.md,,OK,2 lines; $3260; RATE_TABLE
PKG-07,DEL-06-01,Commissioning/Training/Closeout & Warranty Narrative,EST_DEL-06-01_2026-02-18_1400/Detail.csv,EST_DEL-06-01_2026-02-18_1400/Run_Context.md,EST_DEL-06-01_2026-02-18_1400/Assumptions_Log.md,,OK,2 lines; $3290; RATE_TABLE
PKG-03,DEL-07-01,DB Firm Experience Profile,EST_DEL-07-01_2026-02-18_2010/Detail.csv,EST_DEL-07-01_2026-02-18_2010/Run_Context.md,EST_DEL-07-01_2026-02-18_2010/Assumptions_Log.md,,OK,2 lines; $2380; RATE_TABLE
PKG-03,DEL-07-02,Key Team Members & Resumes,EST_DEL-07-02_2026-02-18_2130/Detail.csv,EST_DEL-07-02_2026-02-18_2130/Run_Context.md,EST_DEL-07-02_2026-02-18_2130/Assumptions_Log.md,,OK,2 lines; $1860; RATE_TABLE
PKG-03,DEL-07-03,Appendix I -- Subtrade & Consultant List,EST_DEL-07-03_2026-02-18_1500/Detail.csv,EST_DEL-07-03_2026-02-18_1500/Run_Context.md,EST_DEL-07-03_2026-02-18_1500/Assumptions_Log.md,,OK,2 lines; $1720; RATE_TABLE
PKG-08,DEL-08-01,Detailed Project Schedule,EST_DEL-08-01_2026-02-18_1400/Detail.csv,EST_DEL-08-01_2026-02-18_1400/Run_Context.md,EST_DEL-08-01_2026-02-18_1400/Assumptions_Log.md,EST_DEL-08-01_2026-02-18_1400/Risk_Register.md,OK,3 lines; $4620; RATE_TABLE
PKG-09,DEL-09-01,Risk Register & Mitigation Plan,EST_DEL-09-01_2026-02-18_1500/Detail.csv,EST_DEL-09-01_2026-02-18_1500/Run_Context.md,EST_DEL-09-01_2026-02-18_1500/Assumptions_Log.md,,OK,3 lines; $3410; RATE_TABLE
PKG-09,DEL-09-02,Site Conditions & Due Diligence Summary,EST_DEL-09-02_2026-02-18_1600/Detail.csv,EST_DEL-09-02_2026-02-18_1600/Run_Context.md,EST_DEL-09-02_2026-02-18_1600/Assumptions_Log.md,,OK,3 lines; $2950; RATE_TABLE
